date,deaths,description,location,location_link,name,name_link,latitude,longitude,wiki_lat,wiki_lon,lat_clean,lon_clean
9912-01-01 00:00:00,80000,"Wholesale massacre of all Roman and Italic citizens in Asia Minor, starting the Mithridatic Wars.",Kingdom of Pontus,/wiki/Kingdom_of_Pontus,Asiatic Vespers,/wiki/Asiatic_Vespers,,,,,,
0061-01-01 00:00:00,1,"Gaius Suetonius Paulinus ordered the Roman army to destroy the Celtic Druid stronghold on Anglesey in Britain, sacking Druidic colleges and sacred groves. The massacre helped impose Roman religion on Britain and sent Druidism into a decline from which it never recovered.[5][6]","Anglesey, Britannia",/wiki/Anglesey,Menai massacre,/wiki/Menai_massacre,53.265325,-4.4291402999999985,,,53.265325,-4.4291402999999985
0390-01-01 00:00:00,7000,Emperor Theodosius I of Rome ordered the executions after the citizens of Thessaloniki murdered a top-level military commander during a violent protest against the arrest of a popular charioteer.[8][9],"Thessaloniki, Macedonia",/wiki/Thessaloniki,Massacre of Thessaloniki,/wiki/Massacre_of_Thessaloniki,40.6400629,22.9444191,40.65,22.9,40.6400629,22.9444191
0627-01-01 00:00:00,600,"Muhammad ordered his followers to attack the Banu Qurayza because according to Muslim tradition he had been ordered to do so by the angel Gabriel.[11][12][13][14][15][16] Muhammad had a treaty with the tribe which was betrayed. 600–900 members of the Banu Qurayza (all males old enough to have pubic hair, all of whom were non-combatants) were beheaded, while the women and children of the tribe were sold into slavery (Tabari, Ibn Ishaq).[14][15][17] Al Waqidi influence is in Ibn Ishaqs biography. Stillman and Watt deny the authenticity of al-Waqidi.[18] Al-Waqidi has been frequently criticized by Muslim Ulama, who claim that he is unreliable.[19][20] A reliable source says all the warriors were killed based on Sa'd ibn Mu'adh judgement whom was appointed by Banu Qurzaya for arbitration.[21][22][23] 2 Muslims were killed[14]","Fortress of Banu Qurayza, Saudi Arabia",/wiki/Saudi_Arabia,Massacre of Banu Qurayza,/wiki/Invasion_of_Banu_Qurayza,,,24.65,46.766999999999996,24.65,46.766999999999996
0782-01-01 00:00:00,4500,"Charlemagne ordered the massacre of 4,500 imprisoned rebel pagan Saxons in response to losing two envoys, four counts, and twenty nobles in battle with the Saxons during his campaign to conquer and Christianize the Saxons during the Saxon Wars.[25]","Verden, Lower Saxony, Germany",/wiki/Verden_an_der_Aller,Massacre of Verden,/wiki/Massacre_of_Verden,52.93479820000001,9.2329647,52.92333000000001,9.235,52.93479820000001,9.2329647
1002-11-13 00:00:00,1,"King Æthelred II ""the Unready"" of England ordered all Danes living in England killed. The Danes were accused of aiding Viking raiders. The King of Denmark, Sweyn Forkbeard, invaded England and deposed King Ethelred in 1013.[27][28][29]","various cities, England",/wiki/Kingdom_of_England,St. Brice's Day massacre,/wiki/St._Brice%27s_Day_massacre,51.6328104,-0.17534029999999998,,,51.6328104,-0.17534029999999998
1066-12-30 00:00:00,4000,"Apparently angered by a rumour that Jewish vizier Joseph ibn Naghrela intended to assassinate the king and take the throne for himself, a Muslim mob killed him and hung his body on a cross. The mob went on to kill the Jewish population of the city.[31][32][33][34]","Granada, Al-Andalus",/wiki/Granada,Massacre of the Jews of Granada,/wiki/1066_Granada_massacre,37.17733629999999,-3.5985571000000003,37.178059999999995,3.60083,37.17733629999999,-3.5985571000000003
1182-05-01 00:00:00,60000,Wholesale massacre of all Latin (Western European) inhabitants of Constantinople by a mob.,"Constantinople, Byzantine Empire",/wiki/Constantinople,Massacre of the Latins,/wiki/Massacre_of_the_Latins,41.012937,28.977647100000002,41.01361,28.955,41.012937,28.977647100000002
1209-01-01 00:00:00,15000,First major military action of the Albigensian Crusade,France,Europe West !France,Massacre at Béziers,/wiki/Massacre_at_B%C3%A9ziers,46.227638,2.213749,,,46.227638,2.213749
1282-01-01 00:00:00,3000,"Revolt against king Charles I, starting the War of the Sicilian Vespers",Kingdom of Sicily,/wiki/Kingdom_of_Sicily,Massacre of the French in Sicily,/wiki/Sicilian_Vespers,38.18618439999999,15.5330372,,,38.18618439999999,15.5330372
1350-01-01 00:00:00,500,"Prehistoric massacre of Central Plains villagers in what is now South Dakota, involving scalping and dismemberment of the victims.[39][40]","Crow Creek Site, Great Plains, North America",/wiki/Great_Plains,Crow Creek massacre,/wiki/Crow_Creek_massacre,,,37.0,97.0,37.0,97.0
1520-11-08 00:00:00,80,"Days after his coronation in Stockholm, King Christian II of Denmark – trying to maintain the Kalmar Union, a personal union between Sweden, Norway and Denmark, and thus keep up his claims to the Swedish throne – liquidated nobles and bishops who earlier had opposed him, or who might stir up fresh opposition.[43][44][45]","Stockholm, Sweden",/wiki/Stockholm,Stockholm massacre,/wiki/Stockholm_Bloodbath,59.329323499999994,18.068580800000003,59.329440000000005,18.06861,59.329323499999994,18.068580800000003
1532-11-16 00:00:00,2000,"The Battle of Cajamarca was the unexpected ambush and seizure of the Inca ruler Atahualpa by a small Spanish force led by Francisco Pizarro, on November 16, 1532. The Spanish killed thousands of Atahualpa's counsellors, commanders and unarmed attendants in the great plaza of Cajamarca, and caused his armed host outside the town to flee. The capture of Atahualpa marked the opening stage of the conquest of the pre-Columbian Inca civilization of Peru.","Cajamarca, Atahualpa","Cajamarca, Atahualpa",Cajamarca massacre,/wiki/Battle_of_Cajamarca,-7.158624099999999,-78.52040840000001,,,-7.158624099999999,-78.52040840000001
1563-03-01 00:00:00,63,"The murder of Huguenot worshipers and citizens in an armed action by troops of Francis, Duke of Guise.","Wassy, France",/wiki/Wassy,Massacre of Vassy,/wiki/Massacre_of_Vassy,48.499508,4.948753,48.4997,4.9483,48.499508,4.948753
1570-01-01 00:00:00,30000,Ottoman forces capturing Cyprus killed mostly Greek and Armenian Christian inhabitants.,Cyprus,/wiki/Cyprus,Cyprus massacre,/wiki/Cyprus_massacre,35.126413,33.429859,35.167,33.367,35.126413,33.429859
